,Definitions,Term,TermLemm,KwMult
514," острая инфекционная болезнь, зооантропоноз. Относится к карантинным (конвенционным) природно-очаговым инфекциям.",Чума ,['чум'],"{'болезн': 0.0009210386884299525, 'остр': 0.0025398339590038082, 'инфекцион': 0.0016434219734730525, 'инфекц': 0.0038097509385057126, 'природн': 0.011973502949589382, 'относ': 0.005986751474794691, 'зооантропоноз': 0.04190726032356284, 'очагов': 0.027938173549041892, 'карантин': 0.08381452064712568, 'конвенцион': 0.08381452064712568}"
515," метод лечения вдыханием лекарственных веществ, распыляемых при помощи специальных аппаратов.",Ингаляция ,['ингаляц'],"{'лекарствен': 0.0029933757373973454, 'лечен': 0.0022056452801875177, 'веществ': 0.0006705161651770054, 'помощ': 0.0027036942144234087, 'метод': 0.001250962994733219, 'специальн': 0.006447270819009667, 'аппарат': 0.007619501877011425, 'вдыхан': 0.027938173549041892, 'распыля': 0.08381452064712568}"
516," состоит из собственно глаза (глазного яблока), соединенного зрительным нервом с мозгом, и вспомогательного аппарата (глазодвигательных мышц, век, слезных желез). Через отверстие в радужной оболочке (зрачок) лучи света входят в глаз и, преломляясь на поверхности глазного яблока, в роговице, хрусталике и стекловидном теле, сходятся на сетчатке, давая на ней изображение видимого предмета. Глазница (орбита) - костная впадина, в которой расположено глазное яблоко. Глазное дно - видимая при офтальмоскопии часть внутренней поверхности глазного яблока: диск зрительного нерва, сетчатка и сосудистая оболочка. Конъюнктива - соединительнотканная прозрачная оболочка покрывает заднюю поверхность век и переднюю часть глаза до роговицы. Воспаление конъюнктивы - конъюнктивит.",Орган зрения ,"['орга', 'зрен']","{'част': 0.002660778433242085, 'котор': 0.0008640672231662441, 'мышц': 0.0017105004213699118, 'передн': 0.008381452064712568, 'внутрен': 0.0013096018851113387, 'оболочк': 0.004055541321635113, 'желез': 0.0007163634243344075, 'располож': 0.004190726032356284, 'воспален': 0.0013740085351987815, 'соединен': 0.00364410959335329, 'тел': 0.0012699169795019041, 'глаз': 0.008111082643270226, 'костн': 0.0032236354095048336, 'мозг': 0.0012699169795019041, 'свет': 0.02095363016178142, 'луч': 0.027938173549041892, 'сетчатк': 0.013969086774520946, 'сосудист': 0.01047681508089071, 'состо': 0.004930265920419157, 'задн': 0.007619501877011425, 'отверст': 0.007619501877011425, 'нерв': 0.006447270819009667, 'прозрачн': 0.011973502949589382, 'аппарат': 0.007619501877011425, 'зрительн': 0.02095363016178142, 'радужн': 0.013969086774520946, 'поверхн': 0.0096709062285145, 'роговиц': 0.027938173549041892, 'стекловидн': 0.04190726032356284, 'хрусталик': 0.016762904129425136, 'дно': 0.04190726032356284, 'предмет': 0.04190726032356284, 'глазодвигательн': 0.04190726032356284, 'конъюнктив': 0.03143044524267213, 'соединительнотка': 0.011973502949589382, 'покрыва': 0.016762904129425136, 'век': 0.04190726032356284, 'собствен': 0.027938173549041892, 'видим': 0.03352580825885027, 'вход': 0.009312724516347298, 'диск': 0.027938173549041892, 'слезн': 0.013969086774520946, 'глазн': 0.04656362258173649, 'яблок': 0.047894011798357526, 'глазниц': 0.04190726032356284, 'офтальмоскоп': 0.027938173549041892, 'вспомогательн': 0.027938173549041892, 'изображен': 0.02095363016178142, 'зрачок': 0.08381452064712568, 'преломл': 0.08381452064712568, 'сход': 0.08381452064712568, 'дав': 0.08381452064712568, 'орбит': 0.08381452064712568, 'впадин': 0.08381452064712568}"
517," реакция, с помощью которой исследуется реакция антигена (микроба, вируса, чужеродного белка) с антителами сыворотки крови.",Серологическая реакция ,"['серологическ', 'реакц']","{'кров': 0.0005304716496653524, 'котор': 0.0008640672231662441, 'белк': 0.0019048754692528563, 'чужеродн': 0.008381452064712568, 'вирус': 0.007619501877011425, 'помощ': 0.0027036942144234087, 'антител': 0.004190726032356284, 'сыворотк': 0.005587634709808378, 'микроб': 0.005986751474794691, 'антиг': 0.02095363016178142, 'реакц': 0.004530514629574361, 'исслед': 0.04190726032356284}"
518," ущемление головки полового члена сдвинутой назад крайней плотью, после травмы, воспалительного процесса, бывает врожденное.",Парафимоз  ,['парафимоз'],"{'полов': 0.0014704301867916785, 'процесс': 0.0016118177047524168, 'головк': 0.04190726032356284, 'травм': 0.006984543387260473, 'посл': 0.0026192037702226774, 'воспалительн': 0.0034922716936302365, 'член': 0.027938173549041892, 'быва': 0.009312724516347298, 'врожден': 0.005238407540445355, 'крайн': 0.04190726032356284, 'ущемлен': 0.08381452064712568, 'сдвинут': 0.08381452064712568, 'назад': 0.08381452064712568, 'плот': 0.08381452064712568}"
519," вещества естественного происхождения или искусственно созданные и предназначенные для излечения различных заболеваний. Выделяют следующие лекарственные формы: жидкие (растворы, настои и др.), мягкие (мази, линименты и др.), твердые (порошки, таблетки), аэрозоли.",Лекарства ,['лекарств'],"{'жидк': 0.008381452064712568, 'различн': 0.0023281811290868245, 'заболеван': 0.00044820599276537796, 'лекарствен': 0.0029933757373973454, 'др': 0.0012994499325135764, 'выделя': 0.002890155884383644, 'ил': 0.0003934954020991816, 'происхожден': 0.005986751474794691, 'форм': 0.0038097509385057126, 'веществ': 0.0006705161651770054, 'след': 0.013969086774520946, 'раствор': 0.006984543387260473, 'искусствен': 0.006447270819009667, 'тверд': 0.02095363016178142, 'естествен': 0.011973502949589382, 'созда': 0.027938173549041892, 'предназначен': 0.08381452064712568, 'излечен': 0.08381452064712568, 'насто': 0.08381452064712568, 'мягк': 0.08381452064712568, 'маз': 0.04190726032356284, 'линимент': 0.04190726032356284, 'порошк': 0.08381452064712568, 'таблетк': 0.027938173549041892, 'аэрозол': 0.08381452064712568}"
520," один из типов лейкоцитов. Способны к фагоцитозу мелких инородных частиц, в т.ч. микробов, могут растворять омертвевшие ткани.",Нейтрофилы ,['нейтрофил'],"{'лейкоцит': 0.005587634709808378, 'ткан': 0.0005986751474794691, 'т': 0.0015814060499457674, 'мелк': 0.006984543387260473, 'способн': 0.0029933757373973454, 'ч': 0.016762904129425136, 'могут': 0.013969086774520946, 'тип': 0.004930265920419157, 'растворя': 0.04190726032356284, 'микроб': 0.005986751474794691, 'частиц': 0.009312724516347298, 'фагоцитоз': 0.02095363016178142, 'инородн': 0.016762904129425136, 'омертвевш': 0.08381452064712568}"
521, заразность.,Контагиозность ,['контагиозн'],{'заразн': 0.016762904129425136}
522," внутренние серповидные хрящи коленного сустава, выравнивающие несоответствие кривизны составляющих его костей и смягчающие резкие толчки в суставе.",Мениск ,['мениск'],"{'сустав': 0.007982335299726254, 'толчк': 0.027938173549041892, 'внутрен': 0.0013096018851113387, 'ег': 0.0018625449032694595, 'составля': 0.006447270819009667, 'хрящ': 0.011973502949589382, 'кост': 0.0032236354095048336, 'резк': 0.016762904129425136, 'серповидн': 0.08381452064712568, 'колен': 0.08381452064712568, 'выравнива': 0.08381452064712568, 'несоответств': 0.08381452064712568, 'кривизн': 0.08381452064712568, 'смягча': 0.08381452064712568}"
523,"син.: психоз дискордантный, Блейлера болезнь, слабоумие раннее) — эндогенная психическая болезнь с непрерывным или приступообразным течением.",Шизофрения ,['шизофрен'],"{'болезн': 0.001842077376859905, 'ил': 0.0003934954020991816, 'слабоум': 0.027938173549041892, 'ран': 0.009312724516347298, 'психическ': 0.006984543387260473, 'син': 0.027938173549041892, 'течен': 0.005238407540445355, 'непрерывн': 0.02095363016178142, 'эндоген': 0.027938173549041892, 'психоз': 0.04190726032356284, 'дискордантн': 0.08381452064712568, 'блейлер': 0.08381452064712568, 'приступообразн': 0.08381452064712568}"
524," лекарственные вещества, препятствующие передаче возбуждения с симпатических нервов на эффекторы (например, на мышцы сосудистой стенки, что вызывает расширение сосудов).",Симпатолитические средства  ,"['симпатолитическ', 'средств']","{'лекарствен': 0.0029933757373973454, 'мышц': 0.0017105004213699118, 'стенк': 0.004930265920419157, 'расширен': 0.007619501877011425, 'сосуд': 0.0017461358468151182, 'препятств': 0.027938173549041892, 'вызыва': 0.0017105004213699118, 'веществ': 0.0006705161651770054, 'передач': 0.011973502949589382, 'например': 0.0008640672231662441, 'сосудист': 0.01047681508089071, 'нерв': 0.0032236354095048336, 'возбужден': 0.009312724516347298, 'симпатическ': 0.011973502949589382, 'эффектор': 0.08381452064712568}"
525," использование энергии электро-магнитного поля СВЧ небольшой мощности для лечения воспалительных, травматических и дистрофических заболеваний суставов, некоторых болезней нервной системы и внутренних органов.",Микроволновая терапия ,"['микроволнов', 'терап']","{'заболеван': 0.00044820599276537796, 'сустав': 0.003991167649863127, 'орган': 0.0008916438366715498, 'внутрен': 0.0013096018851113387, 'лечен': 0.0022056452801875177, 'болезн': 0.0009210386884299525, 'систем': 0.000901231404807803, 'небольш': 0.016762904129425136, 'некотор': 0.0016762904129425135, 'пол': 0.005587634709808378, 'нервн': 0.0006926819888192204, 'воспалительн': 0.0034922716936302365, 'использован': 0.011973502949589382, 'травматическ': 0.04190726032356284, 'энерг': 0.01047681508089071, 'дистрофическ': 0.04190726032356284, 'электр': 0.08381452064712568, 'магнитн': 0.08381452064712568, 'свч': 0.08381452064712568, 'мощност': 0.08381452064712568}"
526," то же, что и маточные трубы.",Яйцевод ,['яйцевод'],"{'маточн': 0.01047681508089071, 'труб': 0.013969086774520946}"
527," 1. Область медицины, изучающая внутренние болезни, одна из древнейших и основных врачебных специальностей. 2. Часть слова или словосочетания, используемая для обозначения вида лечения (кислородная терапия; гемотерапия - лечение препаратами крови).",Терапия  ,['терап'],"{'част': 0.0013303892166210425, 'кров': 0.0005304716496653524, 'препарат': 0.0026192037702226774, 'област': 0.0034922716936302365, 'внутрен': 0.0013096018851113387, 'лечен': 0.0044112905603750354, 'болезн': 0.0009210386884299525, '2': 0.0022652573147871804, 'ил': 0.0003934954020991816, 'вид': 0.0023947005899178763, 'используем': 0.027938173549041892, 'основн': 0.002095363016178142, 'терап': 0.01047681508089071, 'медицин': 0.004190726032356284, 'изуча': 0.004190726032356284, 'специальн': 0.006447270819009667, 'кислородн': 0.016762904129425136, 'слов': 0.016762904129425136, '1': 0.0024651329602095786, 'одн': 0.005986751474794691, 'обозначен': 0.016762904129425136, 'врачебн': 0.027938173549041892, 'древн': 0.08381452064712568, 'словосочетан': 0.08381452064712568, 'гемотерап': 0.04190726032356284}"
528," область расположения чувствительных нервных окончаний (рецепторов), раздражение которых вызывает определенный рефлекс (например, раздражение слизистой оболочки носа - чихание).",Рефлексогенная зона ,"['рефлексоген', 'зон']","{'котор': 0.0008640672231662441, 'рефлекс': 0.011973502949589382, 'област': 0.0034922716936302365, 'оболочк': 0.0013518471072117043, 'слизист': 0.0020442566011494067, 'нос': 0.008381452064712568, 'вызыва': 0.0017105004213699118, 'чувствительн': 0.004930265920419157, 'например': 0.0008640672231662441, 'нервн': 0.0006926819888192204, 'определен': 0.003352580825885027, 'раздражен': 0.012894541638019334, 'расположен': 0.005587634709808378, 'рецептор': 0.016762904129425136, 'окончан': 0.013969086774520946, 'чихан': 0.08381452064712568}"
529,"РНК) - высокомолекулярные органические соединения, тип нуклеиновых кислот. В клетках всех живых организмов участвуют в реализации генетической информации.",Рибонуклеиновые кислоты ,"['рибонуклеинов', 'кислот']","{'клетк': 0.0010221283005747033, 'организм': 0.0005018833571684172, 'соединен': 0.00364410959335329, 'органическ': 0.005986751474794691, 'жив': 0.003352580825885027, 'участв': 0.002890155884383644, 'генетическ': 0.009312724516347298, 'кислот': 0.0023281811290868245, 'тип': 0.004930265920419157, 'всех': 0.005986751474794691, 'нуклеинов': 0.016762904129425136, 'реализац': 0.04190726032356284, 'информац': 0.016762904129425136, 'высокомолекулярн': 0.02095363016178142, 'рнк': 0.016762904129425136}"
530," организмы, питающиеся за счет других организмов (называемых хозяевами) и большей частью наносящие им вред. Паразиты разделяют на зоопаразитов (простейшие, гельминты и др.) и фитопаразитов (бактерии, грибы и др.); эктопаразиты живут на теле хозяина, эндопаразиты -- в теле хозяина.",Паразиты  ,['паразит'],"{'част': 0.0013303892166210425, 'др': 0.0012994499325135764, 'называ': 0.007619501877011425, 'организм': 0.0010037667143368344, 'друг': 0.0015239003754022851, 'бактер': 0.002890155884383644, 'гриб': 0.011973502949589382, 'пита': 0.02095363016178142, 'больш': 0.004190726032356284, 'паразит': 0.01047681508089071, 'живут': 0.04190726032356284, 'тел': 0.0025398339590038082, 'прост': 0.009312724516347298, 'им': 0.011973502949589382, 'гельминт': 0.027938173549041892, 'разделя': 0.027938173549041892, 'счет': 0.08381452064712568, 'хозяев': 0.08381452064712568, 'нанося': 0.08381452064712568, 'вред': 0.08381452064712568, 'зоопаразит': 0.08381452064712568, 'фитопаразит': 0.08381452064712568, 'эктопаразит': 0.08381452064712568, 'хозяин': 0.055876347098083784, 'эндопаразит': 0.08381452064712568}"
531," заболевание, характеризующееся повышенной реактивностью бронхов с приступами одышки и удушья и характерными свистящими хрипами.",Бронхиальная астма ,"['бронхиальн', 'астм']","{'заболеван': 0.00044820599276537796, 'характерн': 0.006447270819009667, 'повышен': 0.0029933757373973454, 'бронх': 0.005587634709808378, 'характериз': 0.004656362258173649, 'одышк': 0.02095363016178142, 'удуш': 0.04190726032356284, 'приступ': 0.013969086774520946, 'реактивн': 0.02095363016178142, 'свистя': 0.08381452064712568, 'хрип': 0.08381452064712568}"
532, выход зрелой яйцеклетки из яичника,Овуляция ,['овуляц'],"{'яйцеклетк': 0.01047681508089071, 'зрел': 0.02095363016178142, 'яичник': 0.008381452064712568, 'выход': 0.027938173549041892}"
533, шеечный канал матки.,Цервикальный канал ,"['цервикальн', 'кана']","{'кана': 0.007619501877011425, 'шеечн': 0.027938173549041892, 'матк': 0.004656362258173649}"
534," расположенный ближе к телу (или органу), например, в руке плечо - проксимальный отдел по отношению к предплечью, а кисть - дистальный.",Проксимальный  ,['проксимальн'],"{'орган': 0.0008916438366715498, 'ил': 0.0003934954020991816, 'отдел': 0.0044112905603750354, 'например': 0.0008640672231662441, 'тел': 0.0012699169795019041, 'отношен': 0.011973502949589382, 'расположен': 0.005587634709808378, 'ближ': 0.027938173549041892, 'рук': 0.016762904129425136, 'кист': 0.016762904129425136, 'проксимальн': 0.04190726032356284, 'плеч': 0.08381452064712568, 'предплеч': 0.08381452064712568, 'дистальн': 0.02095363016178142}"
535, воспаление спинного мозга при поражении нейротропными вирусами и как осложнение других заболеваний.,Миелит ,['миел'],"{'заболеван': 0.00044820599276537796, 'воспален': 0.0013740085351987815, 'друг': 0.0015239003754022851, 'вирус': 0.007619501877011425, 'поражен': 0.002890155884383644, 'мозг': 0.0012699169795019041, 'спин': 0.004930265920419157, 'осложнен': 0.013969086774520946, 'нейротропн': 0.08381452064712568}"
536," антитела, однородные по своей структуре и специфичности, которые можно производить в неограниченном количестве.",Моноклональные антитела ,"['моноклональн', 'антител']","{'котор': 0.0008640672231662441, 'количеств': 0.004190726032356284, 'антител': 0.004190726032356284, 'структур': 0.005986751474794691, 'сво': 0.01047681508089071, 'однородн': 0.08381452064712568, 'специфичн': 0.08381452064712568, 'можн': 0.08381452064712568, 'производ': 0.08381452064712568, 'неограничен': 0.08381452064712568}"
537," ложные, искаженные образы действительности, возникающие в процессе зрительною восприятия.",Зрительные иллюзии ,"['зрительн', 'иллюз']","{'образ': 0.0010221283005747033, 'процесс': 0.0016118177047524168, 'возника': 0.0032236354095048336, 'зрительн': 0.01047681508089071, 'действительн': 0.04190726032356284, 'восприят': 0.027938173549041892, 'ложн': 0.08381452064712568, 'искажен': 0.08381452064712568}"
538," лекарственные вещества, предупреждающие, устраняющие или ослабляющие явления воспаления (например, ацетилсалициловая кислота, анальгин и др.).",Противовоспалительные средства  ,"['противовоспалительн', 'средств']","{'лекарствен': 0.0029933757373973454, 'др': 0.0006497249662567882, 'воспален': 0.0013740085351987815, 'ил': 0.0003934954020991816, 'веществ': 0.0006705161651770054, 'например': 0.0008640672231662441, 'кислот': 0.0023281811290868245, 'явлен': 0.04190726032356284, 'предупрежда': 0.04190726032356284, 'устраня': 0.04190726032356284, 'ослабля': 0.04190726032356284, 'ацетилсалицилов': 0.08381452064712568, 'анальгин': 0.08381452064712568}"
539," заболевания, при которых поражается система тканей, чаще всего соединительной.",Системные заболевания ,"['системн', 'заболеван']","{'котор': 0.0008640672231662441, 'заболеван': 0.00044820599276537796, 'ткан': 0.0005986751474794691, 'соединительн': 0.00364410959335329, 'систем': 0.000901231404807803, 'поража': 0.027938173549041892, 'чащ': 0.004930265920419157, 'всег': 0.011973502949589382}"
540," заболевание кожи, вызываемое головными, платяными или лобковыми вшами.",Педикулез  ,['педикулез'],"{'заболеван': 0.00044820599276537796, 'кож': 0.0011973502949589382, 'ил': 0.0003934954020991816, 'вызыва': 0.0017105004213699118, 'головн': 0.0032236354095048336, 'платян': 0.08381452064712568, 'лобков': 0.08381452064712568, 'вшам': 0.08381452064712568}"
541, метод рентгенологического исследования почек и мочевыводящих путей после внутривенного введения рентгеноконтрастного вещества.,Урография ,['урограф'],"{'веществ': 0.0006705161651770054, 'введен': 0.0029933757373973454, 'почек': 0.007619501877011425, 'мочевыводя': 0.027938173549041892, 'пут': 0.0023947005899178763, 'метод': 0.001250962994733219, 'посл': 0.0026192037702226774, 'внутривен': 0.009312724516347298, 'рентгенологическ': 0.011973502949589382, 'исследован': 0.003104241505449099, 'рентгеноконтрастн': 0.08381452064712568}"
542," заболевание, обусловленное длительным вдыханием пыли, содержащей свободную двуокись кремния, пневмокониоз.",Силикоз ,['силикоз'],"{'заболеван': 0.00044820599276537796, 'содержа': 0.0044112905603750354, 'обусловлен': 0.002890155884383644, 'длительн': 0.006447270819009667, 'вдыхан': 0.027938173549041892, 'пыл': 0.08381452064712568, 'свободн': 0.08381452064712568, 'двуок': 0.08381452064712568, 'кремн': 0.08381452064712568, 'пневмокониоз': 0.08381452064712568}"
543, применение рентгеновского излучения для лечения опухолевых и других заболеваний; вид лучевой терапии.,Рентгенотерапия ,['рентгенотерап'],"{'заболеван': 0.00044820599276537796, 'лечен': 0.0022056452801875177, 'друг': 0.0015239003754022851, 'вид': 0.0023947005899178763, 'применен': 0.013969086774520946, 'терап': 0.01047681508089071, 'опухолев': 0.013969086774520946, 'лучев': 0.04190726032356284, 'рентгеновск': 0.027938173549041892, 'излучен': 0.027938173549041892}"
544," наука, изучающая строение и функции эндокринных желез, продукты их жизнедеятельности - гормоны, а также заболевания, связанные с нарушениями функций этих желез.",Эндокринология ,['эндокринолог'],"{'заболеван': 0.00044820599276537796, 'желез': 0.001432726848668815, 'жизнедеятельн': 0.006447270819009667, 'гормон': 0.0013096018851113387, 'связа': 0.004656362258173649, 'нарушен': 0.0012894541638019334, 'такж': 0.0019048754692528563, 'функц': 0.003286843946946105, 'эт': 0.005587634709808378, 'изуча': 0.004190726032356284, 'строен': 0.011973502949589382, 'продукт': 0.003352580825885027, 'эндокрин': 0.005238407540445355, 'наук': 0.013969086774520946}"
545, пролонгированные гормональные препараты. Вводятся внутримышечно.,Инъекционные контрацептивы ,"['инъекцион', 'контрацептив']","{'препарат': 0.0026192037702226774, 'пролонгирова': 0.02095363016178142, 'гормональн': 0.008381452064712568, 'ввод': 0.027938173549041892, 'внутримышечн': 0.02095363016178142}"
546," вскрытие трахеи и введение в ее просвет специальной трубки для восстановления дыхания при сужении гортани (например, при отеке), а также при реанимации.",Трахеотомия  ,['трахеотом'],"{'е': 0.0015814060499457674, 'гортан': 0.01047681508089071, 'трах': 0.01047681508089071, 'введен': 0.0029933757373973454, 'такж': 0.0019048754692528563, 'например': 0.0008640672231662441, 'специальн': 0.006447270819009667, 'дыхан': 0.005238407540445355, 'сужен': 0.007619501877011425, 'трубк': 0.02095363016178142, 'отек': 0.005986751474794691, 'просвет': 0.01047681508089071, 'восстановлен': 0.02095363016178142, 'вскрыт': 0.02095363016178142, 'реанимац': 0.08381452064712568}"
547," класс ферментов, посредством которых в живых клетках осуществляются различные процессы - биосинтез белков, нуклеиновых кислот и др. Их уровень меняется при различных заболеваниях, определяется при биохимическом исследовании крови. Различают алан иновую (АлТ) иаспарагиновую (АсТ) трансферазы.",Трансферазы ,['трансфераз'],"{'кров': 0.0005304716496653524, 'котор': 0.0008640672231662441, 'различн': 0.004656362258173649, 'заболеван': 0.00044820599276537796, 'др': 0.0006497249662567882, 'клетк': 0.0010221283005747033, 'белк': 0.0019048754692528563, 'жив': 0.003352580825885027, 'уровен': 0.013969086774520946, 'процесс': 0.0016118177047524168, 'фермент': 0.002890155884383644, 'кислот': 0.0023281811290868245, 'класс': 0.016762904129425136, 'определя': 0.009312724516347298, 'осуществля': 0.0044112905603750354, 'нуклеинов': 0.016762904129425136, 'исследован': 0.003104241505449099, 'различа': 0.005986751474794691, 'биохимическ': 0.011973502949589382, 'посредств': 0.013969086774520946, 'трансфераз': 0.04190726032356284, 'биосинтез': 0.027938173549041892, 'меня': 0.02095363016178142, 'ала': 0.08381452064712568, 'инов': 0.08381452064712568, 'алт': 0.08381452064712568, 'иаспарагинов': 0.08381452064712568, 'аст': 0.08381452064712568}"
548," один из основных компонентов клеток и тканей живых организмов. Обеспечивают все живые клетки энергией (глюкоза и ее запасные формы - крахмал, гликоген), участвуют в защитных реакциях организма (иммунитет). Из пищевых продуктов наиболее богаты углеводами овощи, фрукты, мучные изделия. Используются в качестве лекарств (гепарин, сердечные гликозиды, некоторые антибиотики). Повышенное содержание некоторых углеводов в крови и моче служит важным диагностическим признаком отдельных заболеваний (сахарный диабет). Суточная потребность человека в углеводах состовляет 400-450 г.",Углеводы  ,['углевод'],"{'кров': 0.0005304716496653524, 'заболеван': 0.00044820599276537796, 'сахарн': 0.007619501877011425, 'диабет': 0.007619501877011425, 'сердечн': 0.0029933757373973454, 'клетк': 0.0010221283005747033, 'ткан': 0.0005986751474794691, 'е': 0.0015814060499457674, 'организм': 0.0010037667143368344, 'человек': 0.0011175269419616757, 'обеспечива': 0.003991167649863127, 'форм': 0.0038097509385057126, 'повышен': 0.0029933757373973454, 'антибиотик': 0.011973502949589382, 'некотор': 0.003352580825885027, 'жив': 0.006705161651770054, 'наибол': 0.007619501877011425, 'важн': 0.005986751474794691, 'овощ': 0.027938173549041892, 'основн': 0.002095363016178142, 'использ': 0.004190726032356284, 'пищев': 0.011973502949589382, 'признак': 0.0034922716936302365, 'участв': 0.002890155884383644, 'моч': 0.0034922716936302365, 'суточн': 0.009312724516347298, 'клеток': 0.0015521207527245495, 'диагностическ': 0.009312724516347298, 'иммунитет': 0.004190726032356284, 'лекарств': 0.007619501877011425, 'глюкоз': 0.013969086774520946, 'содержан': 0.006447270819009667, 'продукт': 0.003352580825885027, 'служ': 0.013969086774520946, 'реакц': 0.0022652573147871804, 'крахма': 0.027938173549041892, 'отдельн': 0.011973502949589382, 'защитн': 0.005587634709808378, 'углевод': 0.02095363016178142, 'энерг': 0.01047681508089071, 'компонент': 0.011973502949589382, 'качеств': 0.02095363016178142, 'гликозид': 0.016762904129425136, 'запасн': 0.027938173549041892, 'гликог': 0.027938173549041892, 'богат': 0.02095363016178142, 'фрукт': 0.08381452064712568, 'мучн': 0.08381452064712568, 'издел': 0.08381452064712568, 'гепарин': 0.08381452064712568, 'потребн': 0.016762904129425136, 'состовля': 0.08381452064712568, '400': 0.08381452064712568, '450': 0.08381452064712568, 'г': 0.027938173549041892}"
549," крупный нервный ствол, иннервирует кожу и мышцы бедра, голени, подошвы и стопы. Воспаление седалищного нерва - ишиас.",Седалищный нерв ,"['седалищн', 'нерв']","{'кож': 0.0011973502949589382, 'мышц': 0.0017105004213699118, 'крупн': 0.009312724516347298, 'воспален': 0.0013740085351987815, 'стоп': 0.04190726032356284, 'нервн': 0.0006926819888192204, 'нерв': 0.0032236354095048336, 'ствол': 0.013969086774520946, 'голен': 0.04190726032356284, 'иннервир': 0.016762904129425136, 'седалищн': 0.04190726032356284, 'бедр': 0.08381452064712568, 'подошв': 0.08381452064712568, 'ишиас': 0.08381452064712568}"
550," группа врожденных или приобретенных, острых или хронических заболеваний крови, характеризующихся усиленным распадом эритроцитов; к гемолитическим анемиям относят гемолитическую болезнь новорожденных, гемоглобинопатии и др.",Гемолитическая анемия ,"['гемолитическ', 'анем']","{'кров': 0.0005304716496653524, 'эритроцит': 0.004190726032356284, 'заболеван': 0.00044820599276537796, 'др': 0.0006497249662567882, 'болезн': 0.0009210386884299525, 'ил': 0.0007869908041983632, 'хроническ': 0.0034922716936302365, 'групп': 0.002890155884383644, 'остр': 0.0025398339590038082, 'анем': 0.009312724516347298, 'характериз': 0.004656362258173649, 'гемолитическ': 0.023947005899178763, 'относ': 0.005986751474794691, 'распад': 0.01047681508089071, 'врожден': 0.005238407540445355, 'приобретен': 0.006447270819009667, 'усилен': 0.01047681508089071, 'новорожден': 0.04190726032356284, 'гемоглобинопат': 0.08381452064712568}"
551, препарат (или лечебный эффект) успокаивающего действия.,Седативиый ,['седатив'],"{'препарат': 0.0026192037702226774, 'ил': 0.0003934954020991816, 'лечебн': 0.004930265920419157, 'действ': 0.004656362258173649, 'эффект': 0.02095363016178142, 'успокаива': 0.08381452064712568}"
552," ограниченное скопление крови при закрытых повреждениях, сопровождающихся разрывом сосуда и излиянием крови в окружающие ткани.",Гематома  ,['гематом'],"{'кров': 0.0010609432993307047, 'ограничен': 0.013969086774520946, 'сосуд': 0.0017461358468151182, 'ткан': 0.0005986751474794691, 'закрыт': 0.016762904129425136, 'поврежден': 0.007619501877011425, 'сопровожда': 0.006447270819009667, 'скоплен': 0.008381452064712568, 'окружа': 0.006984543387260473, 'разрыв': 0.04190726032356284, 'излиян': 0.08381452064712568}"
553," то же, что и микрофаги.",Полибласты ,['полибласт'],{'микрофаг': 0.04190726032356284}
554," слабость голоса, быстрая его утомляемость.",Фонастения  ,['фонастен'],"{'ег': 0.0018625449032694595, 'слабост': 0.02095363016178142, 'быстр': 0.016762904129425136, 'голос': 0.08381452064712568, 'утомляем': 0.08381452064712568}"
555,"от ""пустула"") - элемент кожной сыпи, пузырек с гнойным содержимым (гнойничок).",Пустулезный  ,['пустулезн'],"{'элемент': 0.00364410959335329, 'кожн': 0.005238407540445355, 'сып': 0.009312724516347298, 'пузырек': 0.027938173549041892, 'содержим': 0.01047681508089071, 'гнойн': 0.01047681508089071, 'пустул': 0.08381452064712568, 'гнойничок': 0.08381452064712568}"
556," плотная соединительнотканная часть мышцы, посредством которой она прикрепляется к костям, фасциям.",Сухожилие ,['сухожил'],"{'част': 0.0013303892166210425, 'котор': 0.0008640672231662441, 'мышц': 0.0017105004213699118, 'плотн': 0.008381452064712568, 'прикрепля': 0.02095363016178142, 'кост': 0.0032236354095048336, 'соединительнотка': 0.011973502949589382, 'посредств': 0.013969086774520946, 'фасц': 0.04190726032356284}"
