,Definitions,Term,TermLemm,KwMult,KwNorm
589," мезенхима  - зародышевая соединительная ткань, из которой образуются собственно соединительная ткань, сосуды, гладкие мышцы, висцеральный скелет (т.е. остов внутренних органов), пигментные клетки и нижний слой соединительнотканной части кожи.",Мезенхимальный,['мезенхимальн'],"{'част': 0.001053419333171967, 'котор': 0.0008687994500387356, 'кож': 0.0012039078093393908, 'мышц': 0.0017198682990562726, 'клетк': 0.0006196584312776277, 'сосуд': 0.001755698888619945, 'ткан': 0.0012039078093393908, 'т': 0.0015900669179954219, 'е': 0.0018320336229077686, 'внутрен': 0.0013167741664649587, 'соединительн': 0.007328134491631074, 'образ': 0.0024078156186787816, 'зародышев': 0.02809118221791912, 'сло': 0.007661231513977942, 'пигментн': 0.02809118221791912, 'нижн': 0.01404559110895956, 'гладк': 0.01685470933075147, 'скелет': 0.012039078093393909, 'соединительнотка': 0.012039078093393909, 'собствен': 0.02809118221791912, 'висцеральн': 0.02809118221791912, 'мезенхим': 0.08427354665375736, 'ост': 0.08427354665375736}","{'част': 0.0028795171427538034, 'котор': 0.002374859499178395, 'кож': 0.0032908767345757755, 'мышц': 0.004701252477965394, 'сосуд': 0.004799195237923006, 'ткан': 0.0032908767345757755, 'т': 0.0043464409701944205, 'е': 0.005007855900441398, 'внутрен': 0.0035993964284422547, 'соединительн': 0.020031423601765592, 'образ': 0.006581753469151551, 'зародышев': 0.0767871238067681, 'сло': 0.0209419428563913, 'пигментн': 0.0767871238067681, 'нижн': 0.03839356190338405, 'гладк': 0.046072274284060855, 'скелет': 0.03290876734575776, 'соединительнотка': 0.03290876734575776, 'собствен': 0.0767871238067681, 'висцеральн': 0.0767871238067681, 'мезенхим': 0.2303613714203043, 'ост': 0.2303613714203043}"
590,"от лат. ""миндалевидные железы"") - воспаление небных миндалин. Острый тонзиллит - основной признак ангины. Хронический тонзиллит развивается в результате повторных ангин. Может приводить к заболеваниям суставов, почек, сердца и тд.",Тонзиллит ,['тонзилл'],"{'заболеван': 0.0004506606772928201, 'тд': 0.006019539046696954, 'сердц': 0.001755698888619945, 'результат': 0.0049572674502210215, 'развива': 0.004213677332687868, 'желез': 0.0007202867235363877, 'воспален': 0.0013815335517009403, 'хроническ': 0.00351139777723989, 'повторн': 0.04213677332687868, 'основн': 0.002106838666343934, 'остр': 0.0025537438379926473, 'признак': 0.00351139777723989, 'лат': 0.008427354665375735, 'привод': 0.00702279555447978, 'миндалин': 0.02106838666343934, 'тонзилл': 0.05618236443583824, 'миндалевидн': 0.08427354665375736, 'небн': 0.08427354665375736, 'ангин': 0.08427354665375736}","{'тд': 0.014412209555952774, 'сердц': 0.004203561120486226, 'результат': 0.011868878457843462, 'развива': 0.01008854668916694, 'воспален': 0.003307720225956374, 'хроническ': 0.008407122240972452, 'повторн': 0.10088546689166941, 'основн': 0.00504427334458347, 'остр': 0.006114270720707238, 'признак': 0.008407122240972452, 'лат': 0.02017709337833388, 'привод': 0.016814244481944903, 'миндалин': 0.050442733445834706, 'тонзилл': 0.13451395585555923, 'миндалевидн': 0.20177093378333882, 'небн': 0.20177093378333882, 'ангин': 0.20177093378333882}"
591," наука, изучающая действие лекарственных веществ на организм. Тесно связана с фармацевтической химией и другими областями науки: физиологией, патологической физиологией, биохимией, химией полимеров.",Фармакология  ,['фармаколог'],"{'лекарствен': 0.003009769523348477, 'област': 0.00351139777723989, 'организм': 0.0005046320158907626, 'друг': 0.0015322463027955884, 'веществ': 0.0006741883732300589, 'изуча': 0.004213677332687868, 'физиолог': 0.024078156186787818, 'действ': 0.0049572674502210215, 'патологическ': 0.00312124246865768, 'связа': 0.02106838666343934, 'тесн': 0.01685470933075147, 'наук': 0.02809118221791912, 'фармацевтическ': 0.08427354665375736, 'хим': 0.08427354665375736, 'биохим': 0.08427354665375736, 'полимер': 0.08427354665375736}","{'лекарствен': 0.006725257704975505, 'област': 0.007846133989138089, 'друг': 0.003423767558896621, 'изуча': 0.009415360786965707, 'физиолог': 0.05380206163980404, 'действ': 0.011076895043489068, 'патологическ': 0.006974341323678302, 'связа': 0.047076803934828534, 'тесн': 0.03766144314786283, 'наук': 0.06276907191310471, 'фармацевтическ': 0.18830721573931414, 'хим': 0.18830721573931414, 'биохим': 0.18830721573931414, 'полимер': 0.18830721573931414}"
592," совокупность структур в центральных отделах головного мозга, регулирующих уровень возбудимости и тонуса, ниже и вышележащих отделов центральной нервной системы, включая кору больших полушарий.",Ретикулярная формация ,"['ретикулярн', 'формац']","{'систем': 0.0007661231513977942, 'больш': 0.004013026031131303, 'отдел': 0.008870899647763933, 'уровен': 0.00936372740597304, 'нервн': 0.0006964755921798129, 'мозг': 0.0012768719189963237, 'совокупн': 0.006019539046696954, 'головн': 0.0032412902559137446, 'структур': 0.006019539046696954, 'тонус': 0.01685470933075147, 'кор': 0.012039078093393909, 'центральн': 0.005618236443583824, 'ниж': 0.02809118221791912, 'возбудим': 0.02106838666343934, 'полушар': 0.01685470933075147, 'вышележа': 0.08427354665375736, 'включ': 0.08427354665375736}","{'больш': 0.013034456075314239, 'отдел': 0.02881300816648411, 'уровен': 0.030413730842399896, 'мозг': 0.004147326933054531, 'совокупн': 0.01955168411297136, 'головн': 0.010527829906984578, 'структур': 0.01955168411297136, 'тонус': 0.054744715516319806, 'кор': 0.03910336822594272, 'центральн': 0.018248238505439936, 'ниж': 0.09124119252719969, 'возбудим': 0.06843089439539976, 'полушар': 0.054744715516319806, 'вышележа': 0.27372357758159904, 'включ': 0.27372357758159904}"
593," сально-роговые пробки в выводных протоках сальных желез (при себорее, угрях).",Комедоны ,['комедон'],"{'желез': 0.0007202867235363877, 'рогов': 0.02106838666343934, 'проток': 0.008427354665375735, 'сальн': 0.08427354665375736, 'пробк': 0.08427354665375736, 'выводн': 0.02106838666343934}","{'рогов': 0.09615384615384616, 'проток': 0.038461538461538464, 'сальн': 0.38461538461538464, 'пробк': 0.38461538461538464, 'выводн': 0.09615384615384616}"
594," звуковой феномен, обусловленный препятствием току крови при пороках сердца, изменениями его мыщцы, нарушением состава крови, например, при анемии. Наличие шума, его локализация, характер и момент возникновения (систолический, диастолический) помогают распознавать заболевание сердца.",Сердечные шумы ,"['сердечн', 'шум']","{'кров': 0.0010667537551108527, 'изменен': 0.006019539046696954, 'заболеван': 0.0004506606772928201, 'сердц': 0.00351139777723989, 'помога': 0.02809118221791912, 'ег': 0.004321720341218326, 'нарушен': 0.0012965161023654978, 'например': 0.0008687994500387356, 'анем': 0.00936372740597304, 'ток': 0.007661231513977942, 'налич': 0.01053419333171967, 'момент': 0.02106838666343934, 'порок': 0.007661231513977942, 'звуков': 0.02809118221791912, 'характер': 0.02106838666343934, 'локализац': 0.04213677332687868, 'шум': 0.02106838666343934, 'феном': 0.04213677332687868, 'препятств': 0.08427354665375736, 'мыщц': 0.08427354665375736, 'возникновен': 0.02809118221791912, 'систолическ': 0.04213677332687868, 'диастолическ': 0.04213677332687868, 'распознава': 0.08427354665375736}","{'кров': 0.0017173808144746918, 'изменен': 0.009690934595964332, 'сердц': 0.005653045180979193, 'помога': 0.045224361447833546, 'ег': 0.006957594068897469, 'нарушен': 0.0020872782206692404, 'например': 0.0013986915911701097, 'анем': 0.01507478714927785, 'ток': 0.012333916758500058, 'налич': 0.01695913554293758, 'момент': 0.03391827108587516, 'порок': 0.012333916758500058, 'звуков': 0.045224361447833546, 'характер': 0.03391827108587516, 'локализац': 0.06783654217175032, 'шум': 0.03391827108587516, 'феном': 0.06783654217175032, 'препятств': 0.13567308434350064, 'мыщц': 0.13567308434350064, 'возникновен': 0.045224361447833546, 'систолическ': 0.06783654217175032, 'диастолическ': 0.06783654217175032, 'распознава': 0.13567308434350064}"
595," переливание цельной крови, а также ее компонентов (плазмы, эритроцитной, лейкоцитной, тромбоцитной массы) в основном с заместительной целью (при кровопотере, анемии и др.). В лечебной практике используют также препараты, получаемые из крови: альбумин, фибриноген, антигемофильный глобулин, гамма-глобулин, тромбин и др.",Гемотерапия ,['гемотерап'],"{'плазм': 0.007661231513977942, 'кров': 0.0010667537551108527, 'препарат': 0.0026335483329299175, 'др': 0.0013065666147869359, 'е': 0.0018320336229077686, 'получа': 0.008427354665375735, 'переливан': 0.02106838666343934, 'цел': 0.00351139777723989, 'такж': 0.003830615756988971, 'основн': 0.002106838666343934, 'лечебн': 0.0049572674502210215, 'заместительн': 0.04213677332687868, 'анем': 0.00936372740597304, 'гамм': 0.01685470933075147, 'глобулин': 0.015322463027955884, 'практик': 0.02106838666343934, 'масс': 0.02106838666343934, 'компонент': 0.012039078093393909, 'цельн': 0.08427354665375736, 'эритроцитн': 0.08427354665375736, 'лейкоцитн': 0.08427354665375736, 'тромбоцитн': 0.08427354665375736, 'кровопотер': 0.04213677332687868, 'альбумин': 0.04213677332687868, 'фибриног': 0.08427354665375736, 'антигемофильн': 0.08427354665375736, 'тромбин': 0.08427354665375736}","{'плазм': 0.008801522509894771, 'кров': 0.0012255284507448414, 'препарат': 0.0030255233627763272, 'др': 0.0015010348466487206, 'е': 0.002104711904540054, 'получа': 0.009681674760884247, 'переливан': 0.024204186902210618, 'цел': 0.004034031150368437, 'такж': 0.004400761254947386, 'основн': 0.002420418690221062, 'лечебн': 0.005695102800520146, 'заместительн': 0.048408373804421236, 'анем': 0.010757416400982498, 'гамм': 0.019363349521768495, 'глобулин': 0.017603045019789543, 'практик': 0.024204186902210618, 'масс': 0.024204186902210618, 'компонент': 0.013830963944120355, 'цельн': 0.09681674760884247, 'эритроцитн': 0.09681674760884247, 'лейкоцитн': 0.09681674760884247, 'тромбоцитн': 0.09681674760884247, 'кровопотер': 0.048408373804421236, 'альбумин': 0.048408373804421236, 'фибриног': 0.09681674760884247, 'антигемофильн': 0.09681674760884247, 'тромбин': 0.09681674760884247}"
596," повышенное количество выделяемой мочи (более 1800 мл в сутки): физиологическая - например, при чрезмерном потреблении жидкости, или патологическая - например, при сахарном и несахарном диабете.",Полиурия  ,['полиур'],"{'сахарн': 0.007661231513977942, 'диабет': 0.007661231513977942, 'выделя': 0.0025537438379926473, 'жидкост': 0.002217724911940983, 'ил': 0.0003956504537735087, 'повышен': 0.00312124246865768, 'например': 0.0017375989000774712, 'моч': 0.0016206451279568723, 'количеств': 0.004213677332687868, 'бол': 0.003830615756988971, 'сутк': 0.01404559110895956, 'патологическ': 0.00312124246865768, 'физиологическ': 0.0049572674502210215, 'чрезмерн': 0.012039078093393909, 'мл': 0.04213677332687868, '1800': 0.08427354665375736, 'потреблен': 0.08427354665375736, 'несахарн': 0.08427354665375736}","{'сахарн': 0.02106248210456718, 'диабет': 0.02106248210456718, 'выделя': 0.007020827368189061, 'жидкост': 0.006097034293427343, 'повышен': 0.008581011227786631, 'например': 0.004777057796912144, 'моч': 0.004455525060581519, 'количеств': 0.011584365157511949, 'бол': 0.01053124105228359, 'сутк': 0.038614550525039835, 'патологическ': 0.008581011227786631, 'физиологическ': 0.013628664891190531, 'чрезмерн': 0.03309818616431986, 'мл': 0.1158436515751195, '1800': 0.231687303150239, 'потреблен': 0.231687303150239, 'несахарн': 0.231687303150239}"
597," часть ки шечника, расположена между желудком и толстой кишкой. В тонкой кишке окончательно переваривается пища под действием желчи, кишечного и поджелудочного соков, всасываются питательные вещества. У человека подразделяется на двенадцатиперстную, тощую и подвздошную кишки. Воспаление - энтерит.",Тонкая кишка  ,"['тонк', 'кишк']","{'част': 0.001053419333171967, 'человек': 0.0010404141562192267, 'межд': 0.00351139777723989, 'кишк': 0.005879549766541211, 'воспален': 0.0013815335517009403, 'веществ': 0.0006741883732300589, 'пищ': 0.005267096665859835, 'сок': 0.006019539046696954, 'кишечн': 0.005618236443583824, 'питательн': 0.01404559110895956, 'поджелудочн': 0.006019539046696954, 'действ': 0.0049572674502210215, 'окончательн': 0.02809118221791912, 'тонк': 0.007661231513977942, 'желч': 0.007661231513977942, 'толст': 0.01053419333171967, 'подвздошн': 0.04213677332687868, 'двенадцатиперстн': 0.012039078093393909, 'тощ': 0.02106838666343934, 'переварива': 0.04213677332687868, 'всасыва': 0.01685470933075147, 'ки': 0.08427354665375736, 'шечник': 0.08427354665375736, 'подразделя': 0.04213677332687868, 'энтер': 0.04213677332687868}","{'част': 0.0021246955270059565, 'человек': 0.0020984647180305746, 'межд': 0.007082318423353188, 'кишк': 0.01185876573212627, 'воспален': 0.002786485937056992, 'пищ': 0.010623477635029783, 'сок': 0.012141117297176896, 'кишечн': 0.011331709477365101, 'питательн': 0.028329273693412753, 'поджелудочн': 0.012141117297176896, 'действ': 0.009998567185910384, 'окончательн': 0.056658547386825506, 'тонк': 0.015452331105497865, 'желч': 0.015452331105497865, 'толст': 0.021246955270059566, 'подвздошн': 0.08498782108023827, 'двенадцатиперстн': 0.02428223459435379, 'тощ': 0.04249391054011913, 'переварива': 0.08498782108023827, 'всасыва': 0.0339951284320953, 'ки': 0.16997564216047653, 'шечник': 0.16997564216047653, 'подразделя': 0.08498782108023827, 'энтер': 0.08498782108023827}"
598, усиливают образование желчи или облегчают ее выделение в просвет кишечника.,Желчегонные средства ,"['желчегон', 'средств']","{'е': 0.0018320336229077686, 'образован': 0.002809118221791912, 'ил': 0.0003956504537735087, 'кишечник': 0.0049572674502210215, 'выделен': 0.005618236443583824, 'желч': 0.007661231513977942, 'просвет': 0.01053419333171967, 'усилива': 0.01685470933075147, 'облегча': 0.02809118221791912}","{'е': 0.02326284890440602, 'образован': 0.03566970165342257, 'ил': 0.005023901641327122, 'кишечник': 0.06294653232956925, 'выделен': 0.07133940330684514, 'желч': 0.09728100450933429, 'просвет': 0.13376138120033462, 'усилива': 0.2140182099205354, 'облегча': 0.3566970165342257}"
599,"аборт - аборт, осуществляемый на ранних сроках беременности. Осуществляется путем вакуумной аспирации плода.",Мини,['мин'],"{'плод': 0.01685470933075147, 'пут': 0.0024078156186787816, 'ран': 0.00936372740597304, 'осуществля': 0.008870899647763933, 'беремен': 0.0033709418661502944, 'аборт': 0.08427354665375736, 'срок': 0.04213677332687868, 'вакуумн': 0.08427354665375736, 'аспирац': 0.08427354665375736}","{'плод': 0.05018888968087916, 'пут': 0.007169841382982737, 'ран': 0.027882716489377315, 'осуществля': 0.02641520509519956, 'беремен': 0.010037777936175832, 'аборт': 0.25094444840439584, 'срок': 0.12547222420219792, 'вакуумн': 0.25094444840439584, 'аспирац': 0.25094444840439584}"
600," процесс механической и химической переработки пищи, в результате которой питательные вещества всасываются и усваиваются, а продукты распада и непереваренные вещества выводятся из организма. Химическая переработка пищи осуществляется главным образом ферментами пищеварительных соков (слюна, желудочный, панкреатический, кишечный сок, желчь).",Пищеварение ,['пищеварен'],"{'котор': 0.0008687994500387356, 'результат': 0.0049572674502210215, 'организм': 0.0005046320158907626, 'слюн': 0.006482580511827489, 'веществ': 0.0013483767464601178, 'образ': 0.0024078156186787816, 'пищеварительн': 0.006482580511827489, 'механическ': 0.012039078093393909, 'химическ': 0.006482580511827489, 'пищ': 0.01053419333171967, 'желудочн': 0.007661231513977942, 'сок': 0.012039078093393909, 'процесс': 0.0016206451279568723, 'кишечн': 0.005618236443583824, 'переработк': 0.05618236443583824, 'питательн': 0.01404559110895956, 'главн': 0.0024786337251105107, 'фермент': 0.0029059843673709435, 'вывод': 0.01404559110895956, 'продукт': 0.0033709418661502944, 'осуществля': 0.004435449823881966, 'распад': 0.01053419333171967, 'желч': 0.007661231513977942, 'всасыва': 0.01685470933075147, 'усваива': 0.08427354665375736, 'непереварен': 0.08427354665375736, 'панкреатическ': 0.02106838666343934}","{'котор': 0.002168352356361565, 'результат': 0.012372363445121872, 'слюн': 0.01617924450515937, 'веществ': 0.0033652828570731493, 'образ': 0.006009433673344909, 'пищеварительн': 0.01617924450515937, 'механическ': 0.03004716836672455, 'химическ': 0.01617924450515937, 'пищ': 0.02629127232088398, 'желудочн': 0.019120925324279257, 'сок': 0.03004716836672455, 'процесс': 0.004044811126289843, 'кишечн': 0.014022011904471455, 'переработк': 0.14022011904471454, 'питательн': 0.035055029761178635, 'главн': 0.006186181722560936, 'фермент': 0.007252764778174891, 'вывод': 0.035055029761178635, 'продукт': 0.008413207142682873, 'осуществля': 0.011070009398266939, 'распад': 0.02629127232088398, 'желч': 0.019120925324279257, 'всасыва': 0.042066035713414364, 'усваива': 0.21033017856707184, 'непереварен': 0.21033017856707184, 'панкреатическ': 0.05258254464176796}"
601," биологически активные вещества, вырабатываемые в организме специализированными клетками или органами (железами внутренней секреции) и оказывающие целенаправленное влияние на деятельность других органов и тканей. Человек имеет развитую систему таких желез (гипофиз, надпочечники, половые, щитовидная и др.), которые посредством гормонов, выделяемых в кровь, участвуют в регуляции всех жизненно важных процессов - роста, развития, размножения, обмена веществ. Активность биосинтеза того или иного гормона определяется стадией развития организма, его физиологическим состоянием и потребностями. Так, секреция половых гормонов зависит от возраста, стадии полового цикла, беременности. Каждый из гормонов влияет на организм в сложном взаимодействии с другим гормоном. Гормональная система совместно с нервной системой обеспечивает деятельность организма как единого целого. Химическая природа гормонов различна - белки, пептиды, производные аминокислот, стероиды, жиры. Гормоны, используемые в медицине, получают химическим синтезом или выделяют из соответствующих органов животных.",Гормоны ,['гормон'],"{'кров': 0.0005333768775554263, 'котор': 0.0008687994500387356, 'различн': 0.00234093185149326, 'др': 0.0006532833073934679, 'клетк': 0.0006196584312776277, 'ткан': 0.0006019539046696954, 'внутрен': 0.0013167741664649587, 'ег': 0.002160860170609163, 'получа': 0.008427354665375735, 'организм': 0.0020185280635630506, 'желез': 0.0014405734470727754, 'выделя': 0.005107487675985295, 'человек': 0.0010404141562192267, 'полов': 0.004435449823881966, 'систем': 0.0015322463027955884, 'обеспечива': 0.003830615756988971, 'друг': 0.003064492605591177, 'гормон': 0.00921741916525471, 'вырабатыва': 0.0020065130155656513, 'сложн': 0.01053419333171967, 'природ': 0.006019539046696954, 'ил': 0.0011869513613205261, 'животн': 0.003009769523348477, 'цел': 0.00351139777723989, 'обм': 0.001652422483407007, 'веществ': 0.0013483767464601178, 'ин': 0.01685470933075147, 'важн': 0.006019539046696954, 'размножен': 0.012039078093393909, 'развит': 0.0049572674502210215, 'един': 0.01404559110895956, 'химическ': 0.006482580511827489, 'гипофиз': 0.005267096665859835, 'процесс': 0.0016206451279568723, 'нервн': 0.0006964755921798129, 'белк': 0.00702279555447978, 'медицин': 0.004213677332687868, 'соответств': 0.02809118221791912, 'щитовидн': 0.00468186370298652, 'синтез': 0.00702279555447978, 'определя': 0.007661231513977942, 'жизнен': 0.01685470933075147, 'цикл': 0.007661231513977942, 'влиян': 0.00702279555447978, 'физиологическ': 0.0049572674502210215, 'оказыва': 0.01053419333171967, 'надпочечник': 0.00702279555447978, 'биологическ': 0.00702279555447978, 'активн': 0.008026052062262605, 'беремен': 0.0033709418661502944, 'гормональн': 0.008427354665375735, 'состоян': 0.003009769523348477, 'секрец': 0.007661231513977942, 'регуляц': 0.006019539046696954, 'производн': 0.01404559110895956, 'деятельн': 0.00936372740597304, 'возраст': 0.01404559110895956, 'взаимодейств': 0.01685470933075147, 'жир': 0.006019539046696954, 'влия': 0.02809118221791912, 'стероид': 0.02106838666343934, 'стад': 0.02106838666343934, 'рост': 0.012039078093393909, 'аминокислот': 0.00936372740597304, 'посредств': 0.01404559110895956, 'пептид': 0.01404559110895956, 'специализирова': 0.02106838666343934, 'кажд': 0.01685470933075147, 'биосинтез': 0.02809118221791912, 'потребн': 0.01685470933075147, 'целенаправлен': 0.04213677332687868, 'совместн': 0.08427354665375736}","{'котор': 0.0012610079006824672, 'различн': 0.003397715732394426, 'внутрен': 0.0019112150994718645, 'ег': 0.003136352983748701, 'получа': 0.012231776636619932, 'организм': 0.0029297668590706426, 'желез': 0.0020909019891658005, 'выделя': 0.007413197961587838, 'человек': 0.0015100958810641892, 'полов': 0.006437777177168385, 'систем': 0.0022239593884763515, 'обеспечива': 0.005559898471190879, 'друг': 0.004447918776952703, 'гормон': 0.01337850569630305, 'вырабатыва': 0.0029123277706237932, 'сложн': 0.015289720795774916, 'природ': 0.008736983311871381, 'ил': 0.0017227854417774552, 'животн': 0.004368491655935691, 'цел': 0.005096573598591638, 'обм': 0.00239838757580783, 'веществ': 0.0019570842618591893, 'ин': 0.024463553273239864, 'важн': 0.008736983311871381, 'размножен': 0.017473966623742763, 'развит': 0.00719516272742349, 'един': 0.020386294394366553, 'химическ': 0.009409058951246102, 'гипофиз': 0.007644860397887458, 'процесс': 0.0023522647378115256, 'белк': 0.010193147197183276, 'медицин': 0.006115888318309966, 'соответств': 0.040772588788733105, 'щитовидн': 0.006795431464788852, 'синтез': 0.010193147197183276, 'определя': 0.011119796942381757, 'жизнен': 0.024463553273239864, 'цикл': 0.011119796942381757, 'влиян': 0.010193147197183276, 'физиологическ': 0.00719516272742349, 'оказыва': 0.015289720795774916, 'надпочечник': 0.010193147197183276, 'биологическ': 0.010193147197183276, 'активн': 0.011649311082495173, 'беремен': 0.004892710654647973, 'гормональн': 0.012231776636619932, 'состоян': 0.004368491655935691, 'секрец': 0.011119796942381757, 'регуляц': 0.008736983311871381, 'производн': 0.020386294394366553, 'деятельн': 0.013590862929577703, 'возраст': 0.020386294394366553, 'взаимодейств': 0.024463553273239864, 'жир': 0.008736983311871381, 'влия': 0.040772588788733105, 'стероид': 0.030579441591549832, 'стад': 0.030579441591549832, 'рост': 0.017473966623742763, 'аминокислот': 0.013590862929577703, 'посредств': 0.020386294394366553, 'пептид': 0.020386294394366553, 'специализирова': 0.030579441591549832, 'кажд': 0.024463553273239864, 'биосинтез': 0.040772588788733105, 'потребн': 0.024463553273239864, 'целенаправлен': 0.061158883183099665, 'совместн': 0.12231776636619933}"
602,"соматотропный, соматотропин) - гормон, вырабатываемый гипофизом. Ускоряет рост тела, участвует в регуляции обмена веществ, по химической природе - белок. Избыточное или недостаточное образование этого гормона в детском возрасте приводит соответственно к гигантизму или карликовости. У взрослых избыток его вызывает акромегалию: увеличение конечностей, нижней челюсти и ТА.",Ростовой гормон ,"['ростов', 'гормон']","{'вызыва': 0.0014529921836854717, 'ег': 0.002160860170609163, 'образован': 0.002809118221791912, 'белок': 0.002055452357408716, 'гормон': 0.0026335483329299175, 'вырабатыва': 0.0020065130155656513, 'природ': 0.006019539046696954, 'ил': 0.0007913009075470175, 'обм': 0.001652422483407007, 'веществ': 0.0006741883732300589, 'химическ': 0.0032412902559137446, 'гипофиз': 0.005267096665859835, 'конечн': 0.005618236443583824, 'тел': 0.0012768719189963237, 'эт': 0.01685470933075147, 'недостаточн': 0.005618236443583824, 'избыток': 0.01685470933075147, 'увеличен': 0.00351139777723989, 'нижн': 0.01404559110895956, 'избыточн': 0.012039078093393909, 'регуляц': 0.006019539046696954, 'привод': 0.00702279555447978, 'челюст': 0.02106838666343934, 'детск': 0.01053419333171967, 'возраст': 0.01404559110895956, 'рост': 0.012039078093393909, 'акромегал': 0.04213677332687868, 'гигантизм': 0.04213677332687868, 'соматотропн': 0.08427354665375736, 'соматотропин': 0.08427354665375736, 'ускоря': 0.04213677332687868, 'соответствен': 0.08427354665375736, 'карликов': 0.08427354665375736, 'взросл': 0.04213677332687868}","{'вызыва': 0.0021320860532897043, 'ег': 0.00317079464335392, 'образован': 0.004122033036360095, 'белок': 0.003016121733922021, 'гормон': 0.0038644059715875895, 'вырабатыва': 0.002944309311685782, 'природ': 0.008832927935057347, 'обм': 0.0024247253155059386, 'химическ': 0.004756191965030879, 'гипофиз': 0.007728811943175179, 'конечн': 0.00824406607272019, 'тел': 0.0018736513801636797, 'эт': 0.02473219821816057, 'недостаточн': 0.00824406607272019, 'избыток': 0.02473219821816057, 'увеличен': 0.005152541295450119, 'нижн': 0.020610165181800477, 'избыточн': 0.017665855870114693, 'регуляц': 0.008832927935057347, 'привод': 0.010305082590900239, 'челюст': 0.030915247772700716, 'детск': 0.015457623886350358, 'возраст': 0.020610165181800477, 'рост': 0.017665855870114693, 'акромегал': 0.06183049554540143, 'гигантизм': 0.06183049554540143, 'соматотропн': 0.12366099109080286, 'соматотропин': 0.12366099109080286, 'ускоря': 0.06183049554540143, 'соответствен': 0.12366099109080286, 'карликов': 0.12366099109080286, 'взросл': 0.06183049554540143}"
603," образование камней в выводных протоках и паренхиме слюнных желез. Причины: инфекция, инородное тело, сужение протока, нарушение минерального обмена.",Слюннокаменная болезнь ,"['слюннокамен', 'болезн']","{'причин': 0.0029059843673709435, 'образован': 0.002809118221791912, 'слюн': 0.006482580511827489, 'желез': 0.0007202867235363877, 'нарушен': 0.0012965161023654978, 'обм': 0.001652422483407007, 'тел': 0.0012768719189963237, 'инфекц': 0.003830615756988971, 'сужен': 0.007661231513977942, 'минеральн': 0.01685470933075147, 'паренхим': 0.01685470933075147, 'проток': 0.01685470933075147, 'инородн': 0.01685470933075147, 'выводн': 0.02106838666343934}","{'причин': 0.02481142089696819, 'образован': 0.023984373533735916, 'слюн': 0.05534855430862135, 'желез': 0.006149839367624595, 'нарушен': 0.01106971086172427, 'обм': 0.014108455019844658, 'тел': 0.010901987969879963, 'инфекц': 0.03270596390963989, 'сужен': 0.06541192781927978, 'минеральн': 0.1439062412024155, 'паренхим': 0.1439062412024155, 'проток': 0.1439062412024155, 'инородн': 0.1439062412024155, 'выводн': 0.17988280150301938}"
604, конституционально-генетически обусловленная дисгармония личности.,Психопатия ,['психопат'],"{'генетическ': 0.00936372740597304, 'конституциональн': 0.08427354665375736, 'дисгармон': 0.08427354665375736, 'личност': 0.04213677332687868}","{'генетическ': 0.04255319148936171, 'конституциональн': 0.3829787234042554, 'дисгармон': 0.3829787234042554, 'личност': 0.1914893617021277}"
605, диагностические исследования для выявления аллергии.,Кожные пробы ,"['кожн', 'проб']","{'диагностическ': 0.00936372740597304, 'выявлен': 0.02106838666343934, 'аллерг': 0.006482580511827489, 'исследован': 0.00312124246865768}","{'диагностическ': 0.2338830584707646, 'выявлен': 0.5262368815592203, 'аллерг': 0.1619190404797601, 'исследован': 0.07796101949025487}"
606," род вирусов, вызывающих острые инфекционные заболевания дыхательных путей у человека и животных (грипп, парагрипп, чума).",Миксовирусы ,['миксовирус'],"{'заболеван': 0.0004506606772928201, 'вызыва': 0.0014529921836854717, 'человек': 0.0010404141562192267, 'животн': 0.003009769523348477, 'род': 0.00702279555447978, 'дыхательн': 0.005618236443583824, 'остр': 0.0025537438379926473, 'инфекцион': 0.001652422483407007, 'пут': 0.0024078156186787816, 'вирус': 0.007661231513977942, 'грипп': 0.01685470933075147, 'чум': 0.02106838666343934, 'парагрипп': 0.08427354665375736}","{'вызыва': 0.009397420594215595, 'человек': 0.006729017215611167, 'животн': 0.01946608551658945, 'род': 0.04542086620537538, 'дыхательн': 0.0363366929643003, 'остр': 0.0165166786201365, 'инфекцион': 0.010687262636558913, 'пут': 0.015572868413271558, 'вирус': 0.04955003586040951, 'грипп': 0.1090100788929009, 'чум': 0.13626259861612613, 'парагрипп': 0.5450503944645045}"
607, в отличие от острого процесса симптомы выражены в меньшей степени.,Подострое течение заболевания  ,"['подостр', 'течен', 'заболеван']","{'остр': 0.0025537438379926473, 'процесс': 0.0016206451279568723, 'степен': 0.02106838666343934, 'отлич': 0.02809118221791912, 'меньш': 0.08427354665375736}","{'остр': 0.018558172733761598, 'процесс': 0.01177730192719486, 'степен': 0.15310492505353318, 'отлич': 0.20413990007137758, 'меньш': 0.6124197002141327}"
